Table1
title=_t	_x	_y	t	x	y	v_x	v_y	a_x	a_y	
unit=[]	[]	[]	[s]	[cm]	[cm]	[cm/s]	[cm/s]	[cm/s²]	[cm/s²]	
formula=										
517	138	207	17,061	7,68	0,85					
518	138	207	17,094	7,68	0,85	0,00	0,00			
519	138	207	17,127	7,68	0,85	0,00	0,00	0,00	0,00	
520	138	207	17,160	7,68	0,85	0,00	0,00	0,00	13,77	
521	138	207	17,193	7,68	0,85	0,00	0,91	-13,77	73,46	
522	138	206	17,226	7,68	0,91	-0,91	4,85	-13,77	45,91	
523	137	202	17,259	7,62	1,17	-0,91	3,94	-2,30	45,91	
524	137	202	17,292	7,62	1,17	-1,06	7,88	-16,07	463,73	
525	136	194	17,325	7,55	1,69	-1,97	34,55	2,30	523,42	
526	135	167	17,358	7,49	3,45	-0,91	42,42	29,84	-29,84	
527	135	151	17,391	7,49	4,49	0,00	32,58	43,62	-149,22	
528	135	134	17,424	7,49	5,60	1,97	32,58	59,69	-29,84	
529	137	118	17,457	7,62	6,64	3,94	30,61	43,62	-75,76	
530	139	103	17,490	7,75	7,62	4,85	27,58	-16,07	-270,89	
531	142	90	17,523	7,94	8,46	2,88	12,73	-43,62	-268,60	
532	142	90	17,556	7,94	8,46	1,97	9,85	-13,77	-43,62	
533	144	80	17,589	8,07	9,11	1,97	9,85	59,69	2,30	
534	144	80	17,622	8,07	9,11	5,91	10,00	89,53	-13,77	
535	150	70	17,655	8,46	9,77	7,88	8,94	-13,77	-257,12	
536	152	71	17,688	8,59	9,70	5,00	-6,97	-29,84	-344,35	
537	155	77	17,721	8,79	9,31	5,91	-13,79	-2,30	-208,91	
538	158	85	17,754	8,98	8,79	4,85	-20,76	135,45	43,62	
539	160	98	17,787	9,11	7,94	14,85	-10,91	181,36	-821,85	
540	173	96	17,820	9,96	8,07	16,82	-75,00	-390,27	-567,03	
541	177	174	17,853	10,22	2,99	-10,91	-48,33	-509,64	1331,50	
542	162	145	17,886	9,24	4,88	-16,82	12,88	105,60	284,66	
543	160	161	17,919	9,11	3,84	-3,94	-29,55	195,13	-569,33	
544	158	175	17,952	8,98	2,93	-3,94	-24,70	-13,77	192,84	
545	156	186	17,985	8,85	2,21	-4,85	-16,82	-43,62	254,82	
546	153	192	18,018	8,66	1,82	-6,82	-7,88	-32,14	270,89	
547	149	194	18,051	8,40	1,69	-6,97	1,06	27,55	268,60	
548	146	191	18,084	8,20	1,89	-5,00	9,85	32,14	222,68	
549	144	184	18,117	8,07	2,34	-4,85	15,76	16,07	165,29	
550	141	175	18,150	7,88	2,93	-3,94	20,76	43,62	135,45	
551	140	163	18,183	7,81	3,71	-1,97	24,70	29,84	73,46	
552	139	150	18,216	7,75	4,56	-1,97	25,61	13,77	29,84	
553	138	137	18,249	7,68	5,40	-1,06	26,67	45,91	32,14	
554	138	123	18,282	7,68	6,32	1,06	27,73	32,14	-32,14	
555	139	109	18,315	7,75	7,23	1,06	24,55	-2,30	-121,67	
556	139	98	18,348	7,75	7,94	0,91	19,70	13,77	-162,99	
557	140	89	18,381	7,81	8,53	1,97	13,79	16,07	-179,06	
558	141	84	18,414	7,88	8,85	1,97	7,88	0,00	-179,06	
559	142	81	18,447	7,94	9,05	1,97	1,97	0,00	-195,13	
560	143	82	18,480	8,01	8,98	1,97	-5,00	-16,07	-192,84	
561	144	86	18,513	8,07	8,72	0,91	-10,76	-29,84	-176,77	
562	144	93	18,546	8,07	8,27	0,00	-16,67	2,30	-165,29	
563	144	103	18,579	8,07	7,62	1,06	-21,67	16,07	-121,67	
564	145	115	18,612	8,14	6,84	1,06	-24,70	-16,07	-75,76	
565	145	128	18,645	8,14	5,99	0,00	-26,67	-32,14	-29,84	
566	145	142	18,678	8,14	5,08	-1,06	-26,67	-16,07	45,91	
567	144	155	18,711	8,07	4,23	-1,06	-23,64	16,07	105,60	
568	144	166	18,744	8,07	3,52	0,00	-19,70	32,14	146,92	
569	144	175	18,777	8,07	2,93	1,06	-13,94	16,07	208,91	
570	145	180	18,810	8,14	2,60	1,06	-5,91	-2,30	211,20	
571	145	181	18,843	8,14	2,54	0,91	0,00	13,77	179,06	
572	146	180	18,876	8,20	2,60	1,97	5,91	2,30	75,76	
573	147	175	18,909	8,27	2,93	1,06	5,00	-16,07	29,84	
574	147	175	18,942	8,27	2,93	0,91	7,88	13,77	179,06	
575	148	167	18,975	8,33	3,45	1,97	16,82	16,07	165,29	
576	149	158	19,008	8,40	4,04	1,97	18,79	-16,07	-105,60	
577	150	148	19,041	8,46	4,69	0,91	9,85	-13,77	43,62	
578	150	148	19,074	8,46	4,69	1,06	21,67	16,07	344,35	
579	151	126	19,107	8,53	6,12	1,97	32,58	-2,30	-29,84	
580	152	115	19,140	8,59	6,84	0,91	19,70	-29,84	-254,82	
581	152	106	19,173	8,59	7,42	0,00	15,76	-13,77	-119,38	
582	152	99	19,206	8,59	7,88	0,00	11,82	0,00	-135,45	
583	152	94	19,239	8,59	8,20	0,00	6,82	-13,77	-162,99	
584	152	92	19,272	8,59	8,33	-0,91	1,06	-13,77	-162,99	
585	151	93	19,305	8,53	8,27	-0,91	-3,94	-2,30	-151,52	
586	151	96	19,338	8,53	8,07	-1,06	-8,94	-16,07	-133,15	
587	150	102	19,371	8,46	7,68	-1,97	-12,73	-13,77	-117,08	
588	149	109	19,404	8,40	7,23	-1,97	-16,67	0,00	-107,90	
589	148	119	19,437	8,33	6,58	-1,97	-19,85	0,00	-48,21	
590	147	129	19,470	8,27	5,92	-1,97	-19,85	0,00	2,30	
591	146	139	19,503	8,20	5,27	-1,97	-19,70	0,00	18,37	
592	145	149	19,536	8,14	4,62	-1,97	-18,64	0,00	75,76	
593	144	158	19,569	8,07	4,04	-1,97	-14,70	16,07	133,15	
594	143	164	19,602	8,01	3,65	-0,91	-9,85	13,77	133,15	
595	143	168	19,635	8,01	3,39	-1,06	-5,91	-2,30	149,22	
596	142	170	19,668	7,94	3,26	-1,06	0,00	2,30	162,99	
597	142	168	19,701	7,94	3,39	-0,91	4,85	16,07	133,15	
598	141	165	19,734	7,88	3,58	0,00	8,79	27,55	121,67	
599	142	159	19,767	7,94	3,97	0,91	12,88	0,00	91,83	
600	142	152	19,800	7,94	4,43	0,00	14,85	2,30	43,62	
601	142	144	19,833	7,94	4,95	1,06	15,76	29,84	13,77	
602	143	136	19,866	8,01	5,47	1,97	15,76	13,77	0,00	
603	144	128	19,899	8,07	5,99	1,97	15,76	0,00	-13,77	
604	145	120	19,932	8,14	6,51	1,97	14,85	0,00	-59,69	
605	146	113	19,965	8,20	6,97	1,97	11,82	0,00	-91,83	
606	147	108	19,998	8,27	7,29	1,97	8,79	-16,07	-103,31	
607	148	104	20,031	8,33	7,55	0,91	5,00	-13,77	-133,15	
608	148	103	20,064	8,33	7,62	1,06	0,00	2,30	-121,67	
609	149	104	20,097	8,40	7,55	1,06	-3,03	-16,07	-103,31	
610	149	106	20,130	8,40	7,42	0,00	-6,82	-16,07	-103,31	
611	149	111	20,163	8,40	7,10	0,00	-9,85	0,00	-75,76	
612	149	116	20,196	8,40	6,77	0,00	-11,82	-16,07	-59,69	
613	149	123	20,229	8,40	6,32	-1,06	-13,79	-29,84	-32,14	
