Table1
title=_t	_x	_y	t	x	y	v_x	v_y	a_x	a_y	
unit=[]	[]	[]	[s]	[cm]	[cm]	[cm/s]	[cm/s]	[cm/s²]	[cm/s²]	
formula=										
0	136	112	0,000	8,32	7,75					
1	136	118	0,033	8,32	7,32	0,00	-15,15			
2	136	126	0,066	8,32	6,75	-1,06	-19,55	-16,07	-117,08	
3	135	136	0,099	8,25	6,03	-1,06	-22,88	16,07	-82,64	
4	135	147	0,132	8,25	5,24	0,00	-25,00	0,00	-48,21	
5	135	159	0,165	8,25	4,38	-1,06	-26,06	-16,07	16,07	
6	134	171	0,198	8,18	3,52	-1,06	-23,94	16,07	96,42	
7	134	181	0,231	8,18	2,80	0,00	-19,70	16,07	130,85	
8	134	189	0,264	8,18	2,22	0,00	-15,30	16,07	167,58	
9	134	195	0,297	8,18	1,79	1,06	-8,64	16,07	199,72	
10	135	197	0,330	8,25	1,65	1,06	-2,12	0,00	181,36	
11	135	197	0,363	8,25	1,65	1,06	3,33	0,00	82,64	
12	136	194	0,396	8,32	1,87	1,06	3,33	2,30	48,21	
13	136	194	0,429	8,32	1,87	1,21	6,52	50,51	344,35	
14	137	188	0,462	8,40	2,30	4,39	26,06	45,91	378,79	
15	140	170	0,495	8,61	3,59	4,24	31,52	-34,44	-48,21	
16	141	159	0,528	8,68	4,38	2,12	22,88	-29,84	-133,15	
17	142	149	0,561	8,75	5,10	2,27	22,73	-13,77	-18,37	
18	143	138	0,594	8,83	5,88	1,21	21,67	-18,37	-64,28	
19	143	129	0,627	8,83	6,53	1,06	18,48	-2,30	-197,43	
20	144	121	0,660	8,90	7,10	1,06	8,64	-16,07	-181,36	
21	144	121	0,693	8,90	7,10	0,00	6,52	-16,07	-32,14	
22	144	115	0,726	8,90	7,53	0,00	6,52	-16,07	-48,21	
23	144	115	0,759	8,90	7,53	-1,06	3,33	-16,07	-80,35	
24	143	112	0,792	8,83	7,75	-1,06	1,21	-2,30	-181,36	
25	143	114	0,825	8,83	7,61	-1,21	-8,64	-18,37	-250,23	
26	142	120	0,858	8,75	7,18	-2,27	-15,30	-29,84	-167,58	
27	141	128	0,891	8,68	6,60	-3,18	-19,70	-13,77	-112,49	
28	139	138	0,924	8,54	5,88	-3,18	-22,73	16,07	-61,98	
29	138	149	0,957	8,47	5,10	-2,12	-23,79	13,77	-36,73	
30	137	160	0,990	8,40	4,31	-2,27	-25,15	-18,37	13,77	
31	136	172	1,023	8,32	3,44	-3,33	-22,88	-13,77	101,01	
32	134	181	1,056	8,18	2,80	-3,18	-18,48	34,44	133,15	
33	133	189	1,089	8,11	2,22	-1,06	-14,09	32,14	165,29	
34	133	194	1,122	8,11	1,87	-1,06	-7,58	0,00	179,06	
35	132	196	1,155	8,04	1,72	-1,06	-2,27	0,00	181,36	
36	132	196	1,188	8,04	1,72	-1,06	4,39	16,07	199,72	
37	131	192	1,221	7,97	2,01	0,00	10,91	32,14	162,99	
38	132	186	1,254	8,04	2,44	1,06	15,15	16,07	130,85	
39	132	178	1,287	8,04	3,01	1,06	19,55	16,07	117,08	
40	133	168	1,320	8,11	3,73	2,12	22,88	16,07	50,51	
41	134	157	1,353	8,18	4,52	2,12	22,88	0,00	-16,07	
42	135	147	1,386	8,25	5,24	2,12	21,82	2,30	-34,44	
43	136	137	1,419	8,32	5,96	2,27	20,61	2,30	-50,51	
44	137	128	1,452	8,40	6,60	2,27	18,48	-2,30	-98,71	
45	138	120	1,485	8,47	7,18	2,12	14,09	-18,37	-165,29	
46	139	115	1,518	8,54	7,53	1,06	7,58	-16,07	-179,06	
47	139	113	1,551	8,54	7,68	1,06	2,27	0,00	-165,29	
48	140	113	1,584	8,61	7,68	1,06	-3,33	-16,07	-183,65	
49	140	116	1,617	8,61	7,46	0,00	-9,85	-16,07	-179,06	
50	140	122	1,650	8,61	7,03	0,00	-15,15	0,00	-146,92	
51	140	130	1,683	8,61	6,46	0,00	-19,55	-16,07	-101,01	
52	140	140	1,716	8,61	5,74	-1,06	-21,82	-16,07	-66,57	
53	139	150	1,749	8,54	5,02	-1,06	-23,94	0,00	-48,21	
54	139	162	1,782	8,54	4,16	-1,06	-25,00	0,00	34,44	
55	138	173	1,815	8,47	3,37	-1,06	-21,67	16,07	114,78	
56	138	182	1,848	8,47	2,73	0,00	-17,42	16,07	130,85	
57	138	189	1,881	8,47	2,22	0,00	-13,03	0,00	183,65	
58	138	194	1,914	8,47	1,87	0,00	-5,30	0,00	162,99	
59	138	194	1,947	8,47	1,87	0,00	-2,27	0,00	128,56	
60	138	196	1,980	8,47	1,72	0,00	3,18	0,00	231,86	
61	138	191	2,013	8,47	2,08	0,00	13,03	0,00	66,57	
62	138	184	2,046	8,47	2,58	0,00	7,58	0,00	-64,28	
63	138	184	2,079	8,47	2,58	0,00	8,79	16,07	183,65	
64	138	176	2,112	8,47	3,16	1,06	19,70	16,07	360,42	
65	139	166	2,145	8,54	3,88	1,06	32,58	-16,07	29,84	
66	139	146	2,178	8,54	5,31	0,00	21,67	-16,07	-328,28	
67	139	146	2,211	8,54	5,31	0,00	10,91	0,00	-16,07	
68	139	136	2,244	8,54	6,03	0,00	20,61	0,00	80,35	
69	139	127	2,277	8,54	6,67	0,00	16,21	0,00	-130,85	
70	139	121	2,310	8,54	7,10	0,00	11,97	-16,07	-128,56	
71	139	116	2,343	8,54	7,46	-1,06	7,73	-16,07	-146,92	
72	138	114	2,376	8,47	7,61	-1,06	2,27	0,00	-167,58	
73	138	114	2,409	8,47	7,61	-1,06	-3,33	0,00	-183,65	
74	137	117	2,442	8,40	7,39	-1,06	-9,85	-2,30	-179,06	
75	137	123	2,475	8,40	6,96	-1,21	-15,15	-18,37	-146,92	
76	136	131	2,508	8,32	6,39	-2,27	-19,55	2,30	-117,08	
77	135	141	2,541	8,25	5,67	-1,06	-22,88	18,37	-66,57	
78	135	152	2,574	8,25	4,88	-1,06	-23,94	-16,07	0,00	
79	134	163	2,607	8,18	4,09	-2,12	-22,88	0,00	50,51	
80	133	173	2,640	8,11	3,37	-1,06	-20,61	32,14	82,64	
81	133	182	2,673	8,11	2,73	0,00	-17,42	16,07	130,85	
82	133	189	2,706	8,11	2,22	0,00	-11,97	0,00	183,65	
83	133	193	2,739	8,11	1,94	0,00	-5,30	16,07	181,36	
84	133	194	2,772	8,11	1,87	1,06	0,00	16,07	160,70	
85	134	193	2,805	8,18	1,94	1,06	5,30	0,00	181,36	
86	134	189	2,838	8,18	2,22	1,06	11,97	34,44	167,58	
87	135	182	2,871	8,25	2,73	3,33	16,36	34,44	98,71	
88	137	174	2,904	8,40	3,30	3,33	18,48	-18,37	64,28	
89	138	165	2,937	8,47	3,95	2,12	20,61	-18,37	48,21	
90	139	155	2,970	8,54	4,66	2,12	21,67	0,00	18,37	
91	140	145	3,003	8,61	5,38	2,12	21,82	0,00	-32,14	
92	141	135	3,036	8,68	6,10	2,12	19,55	-16,07	-101,01	
93	142	127	3,069	8,75	6,67	1,06	15,15	-13,77	-114,78	
94	142	121	3,102	8,75	7,10	1,21	11,97	2,30	-130,85	
95	143	116	3,135	8,83	7,46	1,21	6,52	-18,37	-165,29	
96	143	115	3,168	8,83	7,53	0,00	1,06	-18,37	-162,99	
