Table1
title=_t	_x	_y	t	x	y	v_x	v_y	a_x	a_y	
unit=[]	[]	[]	[s]	[cm]	[cm]	[cm/s]	[cm/s]	[cm/s²]	[cm/s²]	
formula=										
0	135	178	0,000	7,98	2,91					
1	136	167	0,033	8,05	3,68	0,00	21,06			
2	135	158	0,066	7,98	4,30	0,00	28,33	48,21	96,42	
3	136	140	0,099	8,05	5,55	3,18	27,42	32,14	-158,40	
4	138	132	0,132	8,19	6,11	2,12	17,88	-48,21	-144,63	
5	138	123	0,165	8,19	6,73	0,00	17,88	-16,07	-64,28	
6	138	115	0,198	8,19	7,29	1,06	13,64	16,07	-160,70	
7	139	110	0,231	8,26	7,63	1,06	7,27	-16,07	-190,54	
8	139	108	0,264	8,26	7,77	0,00	1,06	-32,14	-188,25	
9	139	109	0,297	8,26	7,70	-1,06	-5,15	-16,07	-190,54	
10	138	113	0,330	8,19	7,43	-1,06	-11,52	0,00	-179,06	
11	138	120	0,363	8,19	6,94	-1,06	-16,97	-16,07	-128,56	
12	137	129	0,396	8,12	6,31	-2,12	-20,00	80,35	-11,48	
13	136	139	0,429	8,05	5,62	4,24	-17,73	16,07	-126,26	
14	141	146	0,462	8,40	5,14	-1,06	-28,33	-176,77	-243,34	
15	135	166	0,495	7,98	3,75	-7,42	-33,79	0,00	94,12	
16	134	178	0,528	7,91	2,91	-1,06	-22,12	112,49	241,05	
17	134	187	0,561	7,91	2,29	0,00	-17,88	16,07	144,63	
18	134	195	0,594	7,91	1,73	0,00	-12,58	0,00	192,84	
19	134	199	0,627	7,91	1,46	0,00	-5,15	16,07	206,61	
20	134	200	0,660	7,91	1,39	1,06	1,06	16,07	110,19	
21	135	198	0,693	7,98	1,53	1,06	2,12	-16,07	61,98	
22	135	198	0,726	7,98	1,53	0,00	5,15	-16,07	45,91	
23	135	193	0,759	7,98	1,87	0,00	5,15	32,14	192,84	
24	135	193	0,792	7,98	1,87	2,12	17,88	48,21	369,61	
25	137	176	0,825	8,12	3,05	3,18	29,55	48,21	32,14	
26	138	165	0,858	8,19	3,82	5,30	20,00	0,00	78,05	
27	142	157	0,891	8,47	4,37	3,18	34,70	-96,42	96,42	
28	141	132	0,924	8,40	6,11	-1,06	26,36	-32,14	-383,38	
29	141	132	0,957	8,40	6,11	1,06	9,39	32,14	-128,56	
30	142	123	0,990	8,47	6,73	1,06	17,88	0,00	48,21	
31	142	115	1,023	8,47	7,29	1,06	12,58	0,00	-176,77	
32	143	111	1,056	8,54	7,56	1,06	6,21	-32,14	-174,47	
33	143	109	1,089	8,54	7,70	-1,06	1,06	-32,14	-172,18	
34	142	110	1,122	8,47	7,63	-1,06	-5,15	0,00	-206,61	
35	142	114	1,155	8,47	7,36	-1,06	-12,58	-16,07	-192,84	
36	141	122	1,188	8,40	6,80	-2,12	-17,88	-16,07	-96,42	
37	140	131	1,221	8,33	6,18	-2,12	-18,94	0,00	45,91	
38	139	140	1,254	8,26	5,55	-2,12	-14,85	-16,07	-142,33	
39	138	145	1,287	8,19	5,20	-3,18	-28,33	-16,07	-314,51	
40	136	167	1,320	8,05	3,68	-3,18	-35,61	16,07	94,12	
41	135	179	1,353	7,98	2,85	-2,12	-22,12	16,07	282,37	
42	134	188	1,386	7,91	2,22	-2,12	-16,97	0,00	176,77	
43	133	195	1,419	7,84	1,73	-2,12	-10,45	16,07	195,13	
44	132	198	1,452	7,77	1,53	-1,06	-4,09	32,14	174,47	
45	132	199	1,485	7,77	1,46	0,00	1,06	16,07	188,25	
46	132	197	1,518	7,77	1,60	0,00	8,33	16,07	190,54	
47	132	191	1,551	7,77	2,01	1,06	13,64	32,14	144,63	
48	133	184	1,584	7,84	2,50	2,12	17,88	16,07	112,49	
49	134	174	1,617	7,91	3,19	2,12	21,06	-96,42	32,14	
50	135	164	1,650	7,98	3,89	-4,24	20,00	0,00	78,05	
51	130	155	1,683	7,63	4,51	2,12	26,21	192,84	80,35	
52	137	139	1,716	8,12	5,62	8,48	25,30	0,00	-126,26	
53	138	131	1,749	8,19	6,18	2,12	17,88	-112,49	-128,56	
54	139	122	1,782	8,26	6,80	1,06	16,82	-16,07	-96,42	
55	139	115	1,815	8,26	7,29	1,06	11,52	0,00	-176,77	
56	140	111	1,848	8,33	7,56	1,06	5,15	-16,07	-174,47	
57	140	110	1,881	8,33	7,63	0,00	0,00	0,00	-172,18	
58	140	111	1,914	8,33	7,56	1,06	-6,21	0,00	-190,54	
59	141	116	1,947	8,40	7,22	0,00	-12,58	-32,14	-176,77	
60	140	123	1,980	8,33	6,73	-1,06	-17,88	0,00	-96,42	
61	140	133	2,013	8,33	6,04	0,00	-18,94	0,00	-160,70	
62	140	141	2,046	8,33	5,48	-1,06	-28,48	-32,14	-142,33	
63	139	160	2,079	8,26	4,16	-2,12	-28,33	0,00	305,33	
64	138	168	2,112	8,19	3,61	-1,06	-8,33	16,07	254,82	
65	138	168	2,145	8,19	3,61	-1,06	-11,52	0,00	-48,21	
66	137	179	2,178	8,12	2,85	-1,06	-11,52	0,00	-82,64	
67	137	179	2,211	8,12	2,85	-1,06	-16,97	-16,07	-128,56	
68	136	195	2,244	8,05	1,73	-2,12	-20,00	0,00	257,12	
69	135	198	2,277	7,98	1,53	-1,06	0,00	32,14	348,94	
70	135	195	2,310	7,98	1,73	0,00	3,03	32,14	80,35	
71	135	195	2,343	7,98	1,73	1,06	5,30	16,07	162,99	
72	136	190	2,376	8,05	2,08	1,06	13,79	0,00	190,54	
73	136	182	2,409	8,05	2,64	1,06	17,88	16,07	94,12	
74	137	173	2,442	8,12	3,26	2,12	20,00			
75	138	163	2,475	8,19	3,96					
										
77	139	138	2,541	8,26	5,69					
78	139	130	2,574	8,26	6,25	1,06	16,82			
79	140	122	2,607	8,33	6,80	1,06	15,76	-16,07	-96,42	
80	140	115	2,640	8,33	7,29	0,00	10,45	-16,07	-176,77	
81	140	112	2,673	8,33	7,49	0,00	4,09	-16,07	-172,18	
82	140	111	2,706	8,33	7,56	-1,06	-0,91	-16,07	-156,11	
83	139	113	2,739	8,26	7,43	-1,06	-6,21	0,00	-179,06	
84	139	117	2,772	8,26	7,15	-1,06	-12,73	-16,07	-176,77	
85	138	125	2,805	8,19	6,59	-2,12	-17,88	-32,14	-78,05	
86	137	134	2,838	8,12	5,97	-3,18	-17,88	0,00	-144,63	
87	135	142	2,871	7,98	5,41	-2,12	-27,42	48,21	-158,40	
88	135	160	2,904	7,98	4,16	0,00	-28,33	16,07	98,71	
89	135	169	2,937	7,98	3,54	-1,06	-20,91	-32,14	126,26	
90	134	180	2,970	7,91	2,78	-2,12	-20,00	0,00	91,83	
91	133	188	3,003	7,84	2,22	-1,06	-14,85	32,14	160,70	
92	133	194	3,036	7,84	1,80	0,00	-9,39	16,07	179,06	
93	133	197	3,069	7,84	1,60	0,00	-3,03	16,07	188,25	
94	133	197	3,102	7,84	1,60	1,06	3,03	16,07	188,25	
95	134	194	3,135	7,91	1,80	1,06	9,39	0,00	179,06	
96	134	188	3,168	7,91	2,22	1,06	14,85	16,07	128,56	
97	135	180	3,201	7,98	2,78	2,12	17,88	16,07	59,69	
98	136	171	3,234	8,05	3,40	2,12	18,79			
99	137	162	3,267	8,12	4,02					
										
101	140	138	3,333	8,33	5,69					
