Table1
title=_t	_x	_y	t	x	y	v_x	v_y	a_x	a_y	
unit=[]	[]	[]	[s]	[cm]	[cm]	[cm/s]	[cm/s]	[cm/s²]	[cm/s²]	
formula=										
0	131	37	0,000	6,37	10,51					
1	134	24	0,033	6,54	11,25	6,06	19,09			
2	138	15	0,066	6,77	11,77	6,97	12,27	27,55	-222,68	
3	142	10	0,099	7,00	12,06	7,88	4,39	27,55	-238,75	
4	147	10	0,132	7,29	12,06	8,79	-3,48	13,77	-213,50	
5	152	14	0,165	7,58	11,83	8,79	-9,70	-2,30	-185,95	
6	157	21	0,198	7,87	11,42	8,64	-15,76	-16,07	-195,13	
7	162	32	0,231	8,15	10,79	7,73	-22,58	185,95	213,50	
8	166	47	0,264	8,38	9,93	20,91	-1,67	160,70	447,66	
9	186	34	0,297	9,53	10,68	18,33	6,97	-528,01	-805,79	
10	187	39	0,330	9,59	10,39	-13,94	-54,85	-502,75	-1067,49	
11	170	97	0,363	8,61	7,06	-14,85	-63,48	185,95	461,43	
12	170	112	0,396	8,61	6,20	-1,67	-24,39	146,92	684,11	
13	168	125	0,429	8,50	5,45	-5,15	-18,33	-94,12	199,72	
14	164	133	0,462	8,27	4,99	-7,88	-11,21	-55,10	224,98	
15	159	138	0,495	7,98	4,71	-8,79	-3,48	0,00	247,93	
16	154	137	0,528	7,69	4,76	-7,88	5,15	16,07	224,98	
17	150	132	0,561	7,46	5,05	-7,73	11,36	2,30	160,70	
18	145	124	0,594	7,18	5,51	-7,73	15,76	-2,30	117,08	
19	141	114	0,627	6,95	6,09	-7,88	19,09	11,48	89,53	
20	136	102	0,660	6,66	6,77	-6,97	21,67	41,32	80,35	
21	133	89	0,693	6,49	7,52	-5,15	24,39	52,80	41,32	
22	130	74	0,726	6,32	8,38	-3,48	24,39	78,05	-52,80	
23	129	61	0,759	6,26	9,13	0,00	20,91	52,80	-94,12	
24	130	50	0,792	6,32	9,76	0,00	18,18	0,00	-91,83	
25	129	40	0,825	6,26	10,33	0,00	14,85	25,25	-117,08	
26	130	33	0,858	6,32	10,74	1,67	10,45	39,03	-160,70	
27	131	28	0,891	6,37	11,02	2,58	4,24	13,77	-169,88	
28	133	28	0,924	6,49	11,02	2,58	-0,76	0,00	-156,11	
29	134	29	0,957	6,54	10,97	2,58	-6,06	13,77	-160,70	
30	136	35	0,990	6,66	10,62	3,48	-11,36	80,35	-461,43	
31	138	42	1,023	6,77	10,22	7,88	-36,52	-25,25	-91,83	
32	145	77	1,056	7,18	8,21	1,82	-17,42	-133,15	619,83	
33	140	62	1,089	6,89	9,07	-0,91	4,39	50,51	-78,05	
34	144	72	1,122	7,12	8,50	5,15	-22,58	39,03	-397,15	
35	146	88	1,155	7,23	7,58	1,67	-21,82	-64,28	103,31	
36	146	97	1,188	7,23	7,06	0,91	-15,76	-11,48	133,15	
37	147	106	1,221	7,29	6,54	0,91	-13,03	-13,77	107,90	
38	147	112	1,254	7,29	6,20	0,00	-8,64	0,00	130,85	
39	147	116	1,287	7,29	5,97	0,91	-4,39	13,77	158,40	
40	148	117	1,320	7,35	5,91	0,91	1,82	0,00	172,18	
41	148	114	1,353	7,35	6,09	0,91	6,97	0,00	208,91	
42	149	109	1,386	7,41	6,37	0,91	15,61	-2,30	172,18	
43	149	96	1,419	7,41	7,12	0,76	18,33	25,25	158,40	
44	150	88	1,452	7,46	7,58	2,58	26,06	2,30	78,05	
45	152	66	1,485	7,58	8,84	0,91	23,48	-66,57	-261,71	
46	151	61	1,518	7,52	9,13	-1,82	8,79	-13,77	-211,20	
47	150	56	1,551	7,46	9,42	0,00	9,55	41,32	-16,07	
48	151	50	1,584	7,52	9,76	0,91	7,73	0,00	-91,83	
49	151	47	1,617	7,52	9,93	0,00	3,48	-27,55	-103,31	
50	151	46	1,650	7,52	9,99	-0,91	0,91	-25,25	-91,83	
51	150	46	1,683	7,46	9,99	-1,67	-2,58	-25,25	-119,38	
52	149	49	1,716	7,41	9,82	-2,58	-6,97	-2,30	-94,12	
53	147	54	1,749	7,29	9,53	-1,82	-8,79	39,03	0,00	
54	147	59	1,782	7,29	9,24	0,00	-6,97	27,55	41,32	
55	147	62	1,815	7,29	9,07	0,00	-6,06	-13,77	-130,85	
56	147	66	1,848	7,29	8,84	-0,91	-15,61	-39,03	-183,65	
57	146	80	1,881	7,23	8,04	-2,58	-18,18	-11,48	91,83	
58	144	87	1,914	7,12	7,64	-1,67	-9,55	25,25	169,88	
59	144	91	1,947	7,12	7,41	-0,91	-6,97	11,48	64,28	
60	143	95	1,980	7,06	7,18	-0,91	-5,30	0,00	64,28	
61	143	97	2,013	7,06	7,06	-0,91	-2,73	0,00	80,35	
62	142	98	2,046	7,00	7,00	-0,91	0,00	2,30	82,64	
63	142	97	2,079	7,00	7,06	-0,76	2,73	2,30	52,80	
64	141	95	2,112	6,95	7,18	-0,76	3,48	22,96	22,96	
65	141	93	2,145	6,95	7,29	0,76	4,24	11,48	27,55	
66	142	90	2,178	7,00	7,46	0,00	5,30	-22,96	29,84	
67	141	87	2,211	6,95	7,64	-0,76	6,21	-13,77	117,08	
68	141	83	2,244	6,95	7,87	-0,91	13,03	64,28	128,56	
69	140	72	2,277	6,89	8,50	3,48	14,70	80,35	-119,38	
70	145	66	2,310	7,18	8,84	4,39	5,15	-41,32	-183,65	
71	145	66	2,343	7,18	8,84	0,76	2,58	-55,10	-39,03	
72	146	63	2,376	7,23	9,01	0,76	2,58	2,30	-39,03	
73	146	63	2,409	7,23	9,01	0,91	0,00	16,07	-39,03	
74	147	63	2,442	7,29	9,01	1,82	0,00	0,00	-11,48	
75	148	63	2,475	7,35	9,01	0,91	-0,76	-27,55	-11,48	
76	148	64	2,508	7,35	8,96	0,00	-0,76	-13,77	-2,30	
77	148	64	2,541	7,35	8,96	0,00	-0,91	0,00	-2,30	
78	148	65	2,574	7,35	8,90	0,00	-0,91	0,00	-13,77	
79	148	65	2,607	7,35	8,90	0,00	-1,82	0,00	-25,25	
80	148	67	2,640	7,35	8,78	0,00	-2,58	-13,77	-11,48	
81	148	68	2,673	7,35	8,73	-0,91	-2,58	0,00	-80,35	
82	147	70	2,706	7,29	8,61	0,00	-7,88	-25,25	-80,35	
83	148	77	2,739	7,35	8,21	-2,58	-7,88	-66,57	66,57	
84	144	79	2,772	7,12	8,09	-4,39	-3,48	25,25	80,35	
85	143	81	2,805	7,06	7,98	-0,91	-2,58	66,57	52,80	
86	143	82	2,838	7,06	7,92	0,00	0,00	0,00	52,80	
87	143	81	2,871	7,06	7,98	-0,91	0,91	-66,57	0,00	
88	142	81	2,904	7,00	7,98	-4,39	0,00	27,55	-13,77	
89	138	81	2,937	6,77	7,98	0,91	0,00	146,92	52,80	
90	143	81	2,970	7,06	7,98	5,30	3,48	13,77	13,77	
91	144	77	3,003	7,12	8,21	1,82	0,91	-41,32	-80,35	
92	145	80	3,036	7,18	8,04	2,58	-1,82	64,28	50,51	
93	147	79	3,069	7,29	8,09	6,06	4,24	-11,48	41,32	
94	152	75	3,102	7,58	8,32	1,82	0,91	-119,38	-50,51	
95	149	78	3,135	7,41	8,15	-1,82	0,91	-16,07	-13,77	
96	150	74	3,168	7,46	8,38	0,76	0,00	41,32	-39,03	
