Table1
title=_t	_x	_y	t	x	y	v_x	v_y	a_x	a_y	
unit=[]	[]	[]	[s]	[cm]	[cm]	[cm/s]	[cm/s]	[cm/s²]	[cm/s²]	
formula=										
0	139	42	0,000	6,93	10,36					
1	142	32	0,033	7,10	10,94	5,30	15,00			
2	145	25	0,066	7,28	11,35	5,30	9,70	-41,32	-174,47	
3	148	21	0,099	7,45	11,58	2,58	3,48	-27,55	-160,70	
4	148	21	0,132	7,45	11,58	3,48	-0,91	107,90	-213,50	
5	152	22	0,165	7,68	11,52	9,70	-10,61	80,35	-252,53	
6	159	33	0,198	8,09	10,88	8,79	-17,58	-107,90	41,32	
7	162	42	0,231	8,26	10,36	2,58	-7,88	-119,38	80,35	
8	162	42	0,264	8,26	10,36	0,91	-12,27	16,07	-213,50	
9	163	56	0,297	8,32	9,55	3,64	-21,97	27,55	-135,45	
10	166	67	0,330	8,50	8,91	2,73	-21,21	-55,10	-16,07	
11	166	80	0,363	8,50	8,15	0,00	-23,03	-68,87	-13,77	
12	166	93	0,396	8,50	7,39	-1,82	-22,12	-55,10	55,10	
13	164	105	0,429	8,38	6,69	-3,64	-19,39	-25,25	121,67	
14	162	115	0,462	8,26	6,11	-3,48	-14,09	-22,96	174,47	
15	160	121	0,495	8,15	5,76	-5,15	-7,88	-55,10	199,72	
16	156	124	0,528	7,92	5,59	-7,12	-0,91	-16,07	199,72	
17	152	122	0,561	7,68	5,70	-6,21	5,30	27,55	149,22	
18	149	118	0,594	7,51	5,94	-5,30	8,94	27,55	91,83	
19	146	112	0,627	7,33	6,29	-4,39	11,36	27,55	91,83	
20	144	105	0,660	7,22	6,69	-3,48	15,00	11,48	96,42	
21	142	95	0,693	7,10	7,28	-3,64	17,73	13,77	52,80	
22	140	85	0,726	6,98	7,86	-2,58	18,48	43,62	11,48	
23	139	74	0,759	6,93	8,50	-0,76	18,48	50,51	-27,55	
24	139	64	0,792	6,93	9,08	0,76	16,67	36,73	-66,57	
25	140	55	0,825	6,98	9,60	1,67	14,09	16,07	-91,83	
26	141	48	0,858	7,04	10,01	1,82	10,61	2,30	-105,60	
27	142	43	0,891	7,10	10,30	1,82	7,12	0,00	-107,90	
28	143	40	0,924	7,16	10,48	1,82	3,48	-13,77	-121,67	
29	144	39	0,957	7,22	10,53	0,91	-0,91	-13,77	-130,85	
30	144	41	0,990	7,22	10,42	0,91	-5,15	11,48	-119,38	
31	145	45	1,023	7,28	10,19	1,67	-8,79	-2,30	-96,42	
32	146	51	1,056	7,33	9,84	0,76	-11,52	-25,25	-41,32	
33	146	58	1,089	7,33	9,43	0,00	-11,52	2,30	-13,77	
34	146	64	1,122	7,33	9,08	0,91	-12,42	13,77	-52,80	
35	147	72	1,155	7,39	8,61	0,91	-15,00	0,00	-64,28	
36	147	81	1,188	7,39	8,09	0,91	-16,67	0,00	13,77	
37	148	91	1,221	7,45	7,51	0,91	-14,09	-13,77	119,38	
38	148	97	1,254	7,45	7,16	0,00	-8,79	0,00	119,38	
39	148	101	1,287	7,45	6,93	0,91	-6,21	13,77	91,83	
40	149	104	1,320	7,51	6,75	0,91	-2,73	-13,77	121,67	
41	149	104	1,353	7,51	6,75	0,00	1,82	-13,77	135,45	
42	149	102	1,386	7,51	6,87	0,00	6,21	25,25	66,57	
43	149	97	1,419	7,51	7,16	1,67	6,21	25,25	-66,57	
44	151	95	1,452	7,62	7,28	1,67	1,82	-11,48	-27,55	
45	151	95	1,485	7,62	7,28	0,91	4,39	2,30	224,98	
46	152	90	1,518	7,68	7,57	1,82	16,67	-13,77	185,95	
47	153	76	1,551	7,74	8,38	0,00	16,67	-41,32	-119,38	
48	152	71	1,584	7,68	8,67	-0,91	8,79	0,00	-185,95	
49	152	66	1,617	7,68	8,96	0,00	4,39	13,77	-78,05	
50	152	66	1,650	7,68	8,96	0,00	3,64	0,00	27,55	
51	152	62	1,683	7,68	9,20	0,00	6,21	0,00	11,48	
52	152	59	1,716	7,68	9,37	0,00	4,39	0,00	-66,57	
53	152	57	1,749	7,68	9,49	0,00	1,82	-13,77	-66,57	
54	152	57	1,782	7,68	9,49	-0,91	0,00	-13,77	-55,10	
55	151	57	1,815	7,62	9,49	-0,91	-1,82	13,77	-55,10	
56	151	59	1,848	7,62	9,37	0,00	-3,64	13,77	-25,25	
57	151	61	1,881	7,62	9,25	0,00	-3,48	0,00	-22,96	
58	151	63	1,914	7,62	9,14	0,00	-5,15	0,00	-41,32	
59	151	67	1,947	7,62	8,91	0,00	-6,21	0,00	9,18	
60	151	70	1,980	7,62	8,73	0,00	-4,55	0,00	-13,77	
61	151	72	2,013	7,62	8,61	0,00	-7,12	-11,48	-64,28	
62	151	78	2,046	7,62	8,26	-0,76	-8,79	-25,25	29,84	
63	150	82	2,079	7,57	8,03	-1,67	-5,15	-2,30	80,35	
64	149	84	2,112	7,51	7,92	-0,91	-3,48	11,48	50,51	
65	149	86	2,145	7,51	7,80	-0,91	-1,82	0,00	66,57	
66	148	86	2,178	7,45	7,80	-0,91	0,91	13,77	55,10	
67	148	85	2,211	7,45	7,86	0,00	1,82	13,77	0,00	
68	148	84	2,244	7,45	7,92	0,00	0,91	-13,77	-2,30	
69	148	84	2,277	7,45	7,92	-0,91	1,67	0,00	39,03	
70	147	82	2,310	7,39	8,03	0,00	3,48	27,55	27,55	
71	148	80	2,343	7,45	8,15	0,91	3,48	13,77	-13,77	
72	148	78	2,376	7,45	8,26	0,91	2,58	0,00	-11,48	
73	149	77	2,409	7,51	8,32	0,91	2,73	0,00	-11,48	
74	149	75	2,442	7,51	8,44	0,91	1,82	11,48	-13,77	
75	150	75	2,475	7,57	8,44	1,67	1,82	-2,30	11,48	
76	151	73	2,508	7,62	8,56	0,76	2,58	-25,25	-16,07	
77	151	72	2,541	7,62	8,61	0,00	0,76	2,30	-39,03	
78	151	72	2,574	7,62	8,61	0,91	0,00	13,77	-36,73	
79	152	72	2,607	7,68	8,61	0,91	-1,67	-13,77	-25,25	
80	152	74	2,640	7,68	8,50	0,00	-1,67	-13,77	25,25	
81	152	74	2,673	7,68	8,50	0,00	0,00	-13,77	39,03	
82	152	74	2,706	7,68	8,50	-0,91	0,91	-13,77	25,25	
83	151	73	2,739	7,62	8,56	-0,91	1,67	13,77	-2,30	
84	151	72	2,772	7,62	8,61	0,00	0,76	13,77	-25,25	
85	151	72	2,805	7,62	8,61	0,00	0,00	-11,48	-22,96	
86	151	72	2,838	7,62	8,61	-0,76	-0,76	-25,25	-11,48	
87	150	73	2,871	7,57	8,56	-1,67	-0,76	-2,30	11,48	
88	149	73	2,904	7,51	8,56	-0,91	0,00	25,25	11,48	
89	149	73	2,937	7,51	8,56	0,00	0,00	0,00	11,48	
90	149	73	2,970	7,51	8,56	-0,91	0,76	-13,77	11,48	
91	148	72	3,003	7,45	8,61	-0,91	0,76	13,77	-11,48	
92	148	72	3,036	7,45	8,61	0,00	0,00	27,55	-36,73	
93	148	72	3,069	7,45	8,61	0,91	-1,67	13,77	-11,48	
94	149	74	3,102	7,51	8,50	0,91	-0,76	-13,77	39,03	
95	149	73	3,135	7,51	8,56	0,00	0,91	0,00	11,48	
96	149	73	3,168	7,51	8,56	0,91	0,00	25,25	-2,30	
