Table1
title=_t	_x	_y	t	x	y	v_x	v_y	a_x	a_y	
unit=[]	[]	[]	[s]	[cm]	[cm]	[cm/s]	[cm/s]	[cm/s²]	[cm/s²]	
formula=										
0	141	165	0,000	8,73	3,97					
1	141	176	0,033	8,73	3,18	0,00	-19,70			
2	141	183	0,066	8,73	2,67	0,00	-12,12	16,07	231,86	
3	141	187	0,099	8,73	2,38	1,06	-4,39	16,07	250,23	
4	142	187	0,132	8,80	2,38	1,06	4,39	-16,07	250,23	
5	142	183	0,165	8,80	2,67	0,00	12,12	-16,07	215,79	
6	142	176	0,198	8,80	3,18	0,00	18,64	18,37	162,99	
7	142	166	0,231	8,80	3,90	1,21	22,88	18,37	114,78	
8	143	155	0,264	8,88	4,69	1,21	26,21	-2,30	84,94	
9	143	142	0,297	8,88	5,63	1,06	28,48	-2,30	50,51	
10	144	129	0,330	8,95	6,57	1,06	29,55	0,00	-2,30	
11	144	115	0,363	8,95	7,58	1,06	28,33	0,00	-101,01	
12	145	103	0,396	9,02	8,44	1,06	22,88	-16,07	-146,92	
13	145	94	0,429	9,02	9,09	0,00	18,64	-32,14	-146,92	
14	145	86	0,462	9,02	9,67	-1,06	13,18	-32,14	-199,72	
15	144	82	0,495	8,95	9,96	-2,12	5,45	-18,37	-215,79	
16	143	81	0,528	8,88	10,03	-2,27	-1,06	-2,30	-215,79	
17	142	83	0,561	8,80	9,89	-2,27	-8,79	-13,77	-234,16	
18	141	89	0,594	8,73	9,45	-3,18	-16,52	-32,14	-213,50	
19	139	98	0,627	8,59	8,80	-4,39	-22,88	-2,30	-179,06	
20	137	110	0,660	8,44	7,94	-3,33	-28,33	18,37	-133,15	
21	136	124	0,693	8,37	6,93	-3,18	-31,67	2,30	-50,51	
22	134	139	0,726	8,23	5,85	-3,18	-31,67	13,77	48,21	
23	133	153	0,759	8,16	4,84	-2,27	-28,48	29,84	280,07	
24	132	165	0,792	8,08	3,97	-1,21	-13,18	34,44	250,23	
25	132	165	0,825	8,08	3,97	0,00	-11,97	18,37	-149,22	
26	132	176	0,858	8,08	3,18	0,00	-23,03	18,37	32,14	
27	132	186	0,891	8,08	2,45	1,21	-9,85	18,37	431,59	
28	133	185	0,924	8,16	2,53	1,21	5,45	13,77	330,58	
29	133	181	0,957	8,16	2,81	2,12	11,97	13,77	34,44	
30	135	174	0,990	8,30	3,32	2,12	7,73	-16,07	-16,07	
31	135	174	1,023	8,30	3,32	1,06	10,91	0,00	231,86	
32	136	164	1,056	8,37	4,04	2,12	23,03	50,51	463,73	
33	137	153	1,089	8,44	4,84	4,39	41,52	18,37	96,42	
34	140	126	1,122	8,66	6,78	3,33	29,39	-34,44	-413,22	
35	140	126	1,155	8,66	6,78	2,12	14,24	0,00	-29,84	
36	142	113	1,188	8,80	7,72	3,33	27,42	18,37	149,22	
37	143	101	1,221	8,88	8,59	3,33	24,09	-2,30	-117,08	
38	145	91	1,254	9,02	9,31	3,18	19,70	0,00	-165,29	
39	146	83	1,287	9,09	9,89	3,33	13,18	2,30	-215,79	
40	148	79	1,320	9,24	10,18	3,33	5,45	-34,44	-250,23	
41	149	78	1,353	9,31	10,25	1,06	-3,33	-50,51	-247,93	
42	149	82	1,386	9,31	9,96	0,00	-10,91	-16,07	-231,86	
43	149	88	1,419	9,31	9,53	0,00	-18,64	-16,07	-234,16	
44	149	99	1,452	9,31	8,73	-1,06	-26,36	-32,14	-165,29	
45	148	112	1,485	9,24	7,79	-2,12	-29,55	-34,44	-96,42	
46	147	126	1,518	9,17	6,78	-3,33	-32,73	-34,44	-32,14	
47	145	142	1,551	9,02	5,63	-4,39	-31,67	0,00	64,28	
48	143	155	1,584	8,88	4,69	-3,33	-28,48	16,07	114,78	
49	142	168	1,617	8,80	3,75	-3,33	-24,09	2,30	183,65	
50	140	177	1,650	8,66	3,10	-3,18	-16,36	18,37	215,79	
51	139	183	1,683	8,59	2,67	-2,12	-9,85	32,14	215,79	
52	138	186	1,716	8,52	2,45	-1,06	-2,12	13,77	250,23	
53	138	185	1,749	8,52	2,53	-1,21	6,67	-2,30	229,57	
54	137	180	1,782	8,44	2,89	-1,21	13,03	18,37	197,43	
55	137	173	1,815	8,44	3,39	0,00	19,70	18,37	167,58	
56	137	162	1,848	8,44	4,19	0,00	24,09	0,00	98,71	
57	137	151	1,881	8,44	4,98	0,00	26,21	0,00	66,57	
58	137	138	1,914	8,44	5,92	0,00	28,48	-16,07	32,14	
59	137	125	1,947	8,44	6,86	-1,06	28,33	-16,07	-18,37	
60	136	112	1,980	8,37	7,79	-1,06	27,27	16,07	-80,35	
61	136	100	2,013	8,37	8,66	0,00	23,03	16,07	-146,92	
62	136	91	2,046	8,37	9,31	0,00	17,58	0,00	-167,58	
63	136	84	2,079	8,37	9,82	0,00	11,97	0,00	-202,02	
64	136	80	2,112	8,37	10,10	0,00	4,24	0,00	-181,36	
65	136	80	2,145	8,37	10,10	0,00	0,00	0,00	-112,49	
66	136	80	2,178	8,37	10,10	0,00	-3,18	16,07	-330,58	
67	136	83	2,211	8,37	9,89	1,06	-21,82	16,07	-449,95	
68	137	100	2,244	8,44	8,66	1,06	-32,88	-16,07	114,78	
69	137	113	2,277	8,44	7,72	0,00	-14,24	-16,07	250,23	
70	137	113	2,310	8,44	7,72	0,00	-16,36	0,00	-511,94	
71	137	128	2,343	8,44	6,64	0,00	-48,03	0,00	-231,86	
72	137	157	2,376	8,44	4,55	0,00	-31,67	0,00	528,01	
73	137	157	2,409	8,44	4,55	0,00	-13,18	18,37	114,78	
74	137	169	2,442	8,44	3,68	1,21	-24,09	18,37	34,44	
75	138	179	2,475	8,52	2,96	1,21	-10,91	-2,30	231,86	
76	138	179	2,508	8,52	2,96	1,06	-8,79	13,77	66,57	
77	139	187	2,541	8,59	2,38	2,12	-6,52	16,07	250,23	
78	140	185	2,574	8,66	2,53	2,12	7,73	0,00	312,21	
79	141	180	2,607	8,73	2,89	2,12	14,09	2,30	181,36	
80	142	172	2,640	8,80	3,46	2,27	19,70	18,37	167,58	
81	143	162	2,673	8,88	4,19	3,33	25,15	13,77	130,85	
82	145	149	2,706	9,02	5,12	3,18	28,33	-16,07	50,51	
83	146	136	2,739	9,09	6,06	2,27	28,48	-13,77	2,30	
84	147	123	2,772	9,17	7,00	2,27	28,48	-2,30	-34,44	
85	148	110	2,805	9,24	7,94	2,12	26,21	-18,37	-101,01	
86	149	99	2,838	9,31	8,73	1,06	21,82	-32,14	-130,85	
87	149	90	2,871	9,31	9,38	0,00	17,58	-32,14	-165,29	
88	149	83	2,904	9,31	9,89	-1,06	10,91	-32,14	-234,16	
89	148	80	2,937	9,24	10,10	-2,12	2,12	-18,37	-247,93	
90	147	81	2,970	9,17	10,03	-2,27	-5,45	-18,37	-213,50	
91	146	85	3,003	9,09	9,74	-3,33	-11,97	-32,14	-215,79	
92	144	92	3,036	8,95	9,24	-4,39	-19,70	0,00	-215,79	
93	142	103	3,069	8,80	8,44	-3,33	-26,21	18,37	-146,92	
94	141	116	3,102	8,73	7,51	-3,18	-29,39	-16,07	-84,94	
95	139	130	3,135	8,59	6,50	-4,39	-31,82	-2,30	-20,66	
96	137	145	3,168	8,44	5,41	-3,33	-30,76	18,37	68,87	
