Table1
title=_t	_x	_y	t	x	y	v_x	v_y	a_x	a_y	
unit=[]	[]	[]	[s]	[m]	[m]	[m/s]	[m/s]	[m/s²]	[m/s²]	
formula=										
0	275	152	0,000	5,10	1,36					
1	275	152	0,033	5,10	1,36	0,00	0,00			
2	275	152	0,066	5,10	1,36	0,00	0,00	-4,59	0,00	
3	275	152	0,099	5,10	1,36	-0,30	0,00	-4,59	0,00	
4	274	152	0,132	5,08	1,36	-0,30	0,00	9,18	0,00	
5	274	152	0,165	5,08	1,36	0,30	0,00	4,59	0,00	
6	275	152	0,198	5,10	1,36	0,00	0,00	-4,59	0,00	
7	274	152	0,231	5,08	1,36	0,00	0,00	4,59	4,59	
8	275	152	0,264	5,10	1,36	0,30	0,30	-4,59	18,37	
9	275	151	0,297	5,10	1,38	-0,30	1,21	-9,18	32,14	
10	274	148	0,330	5,08	1,44	-0,30	2,42	-4,59	32,14	
11	274	143	0,363	5,08	1,54	-0,61	3,33	-13,77	27,55	
12	272	137	0,396	5,04	1,66	-1,21	4,24	-13,77	27,55	
13	270	129	0,429	5,00	1,82	-1,52	5,15	-18,37	18,37	
14	267	120	0,462	4,94	2,00	-2,42	5,45	-27,55	9,18	
15	262	111	0,495	4,84	2,18	-3,33	5,76	-22,96	4,59	
16	256	101	0,528	4,72	2,38	-3,94	5,76	-27,55	0,00	
17	249	92	0,561	4,58	2,56	-5,15	5,76	-32,14	-4,59	
18	239	82	0,594	4,38	2,76	-6,06	5,45	-22,96	-22,96	
19	229	74	0,627	4,18	2,92	-6,67	4,24	-22,96	-32,14	
20	217	68	0,660	3,94	3,04	-7,58	3,33	-22,96	-22,96	
21	204	63	0,693	3,68	3,14	-8,18	2,73	-9,18	-27,55	
22	190	59	0,726	3,40	3,22	-8,18	1,52	0,00	-41,32	
23	177	58	0,759	3,14	3,24	-8,18	0,00	0,00	-36,73	
24	163	59	0,792	2,86	3,22	-8,18	-0,91	9,18	-22,96	
25	150	61	0,825	2,60	3,18	-7,58	-1,52	22,96	-22,96	
26	138	64	0,858	2,36	3,12	-6,67	-2,42	27,55	-27,55	
27	128	69	0,891	2,16	3,02	-5,76	-3,33	22,96	-18,37	
28	119	75	0,924	1,98	2,90	-5,15	-3,64	22,96	-4,59	
29	111	81	0,957	1,82	2,78	-4,24	-3,64	22,96	4,59	
30	105	87	0,990	1,70	2,66	-3,64	-3,33	18,37	9,18	
31	99	92	1,023	1,58	2,56	-3,03	-3,03	22,96	9,18	
32	95	97	1,056	1,50	2,46	-2,12	-2,73	22,96	9,18	
33	92	101	1,089	1,44	2,38	-1,52	-2,42	13,77	13,77	
34	90	105	1,122	1,40	2,30	-1,21	-1,82	9,18	22,96	
35	88	107	1,155	1,36	2,26	-0,91	-0,91	13,77	18,37	
36	87	108	1,188	1,34	2,24	-0,30	-0,61	13,77	13,77	
37	87	109	1,221	1,34	2,22	0,00	0,00	9,18	18,37	
38	87	108	1,254	1,34	2,24	0,30	0,61	13,77	18,37	
39	88	107	1,287	1,36	2,26	0,91	1,21	13,77	18,37	
40	90	104	1,320	1,40	2,32	1,21	1,82	4,59	9,18	
41	92	101	1,353	1,44	2,38	1,21	1,82	-9,18	-13,77	
42	94	98	1,386	1,48	2,44	0,61	0,91	0,00	-9,18	
43	94	98	1,419	1,48	2,44	1,21	1,21	22,96	27,55	
44	98	94	1,452	1,56	2,52	2,12	2,73	18,37	22,96	
45	101	89	1,485	1,62	2,62	2,42	2,73	13,77	-4,59	
46	106	85	1,518	1,72	2,70	3,03	2,42	13,77	0,00	
47	111	81	1,551	1,82	2,78	3,33	2,73	13,77	4,59	
48	117	76	1,584	1,94	2,88	3,94	2,73	13,77	-4,59	
49	124	72	1,617	2,08	2,96	4,24	2,42	4,59	-9,18	
50	131	68	1,650	2,22	3,04	4,24	2,12	4,59	-9,18	
51	138	65	1,683	2,36	3,10	4,55	1,82	9,18	-9,18	
52	146	62	1,716	2,52	3,16	4,85	1,52	4,59	-13,77	
53	154	60	1,749	2,68	3,20	4,85	0,91	-4,59	-13,77	
54	162	59	1,782	2,84	3,22	4,55	0,61	-4,59	-9,18	
55	169	58	1,815	2,98	3,24	4,55	0,30	0,00	-9,18	
56	177	58	1,848	3,14	3,24	4,55	0,00	-9,18	-9,18	
57	184	58	1,881	3,28	3,24	3,94	-0,30	-13,77	-9,18	
58	190	59	1,914	3,40	3,22	3,64	-0,61	-9,18	-9,18	
59	196	60	1,947	3,52	3,20	3,33	-0,91	-9,18	-4,59	
60	201	62	1,980	3,62	3,16	3,03	-0,91	-9,18	0,00	
61	206	63	2,013	3,72	3,14	2,73	-0,91	-13,77	0,00	
62	210	65	2,046	3,80	3,10	2,12	-0,91	-18,37	4,59	
63	213	66	2,079	3,86	3,08	1,52	-0,61	-13,77	4,59	
64	215	67	2,112	3,90	3,06	1,21	-0,61	-9,18	4,59	
65	217	68	2,145	3,94	3,04	0,91	-0,30	-13,77	9,18	
66	218	68	2,178	3,96	3,04	0,30	0,00	-13,77	4,59	
67	218	68	2,211	3,96	3,04	0,00	0,00	-9,18	0,00	
68	218	68	2,244	3,96	3,04	-0,30	0,00	-9,18	4,59	
69	217	68	2,277	3,94	3,04	-0,61	0,30	-9,18	9,18	
70	216	67	2,310	3,92	3,06	-0,91	0,61	-9,18	4,59	
71	214	66	2,343	3,88	3,08	-1,21	0,61	-9,18	0,00	
72	212	65	2,376	3,84	3,10	-1,52	0,61	-13,77	0,00	
73	209	64	2,409	3,78	3,12	-2,12	0,61	-13,77	0,00	
74	205	63	2,442	3,70	3,14	-2,42	0,61	-4,59	0,00	
75	201	62	2,475	3,62	3,16	-2,42	0,61	0,00	0,00	
76	197	61	2,508	3,54	3,18	-2,42	0,61	-4,59	0,00	
77	193	60	2,541	3,46	3,20	-2,73	0,61	-9,18	0,00	
78	188	59	2,574	3,36	3,22	-3,03	0,61	-4,59	-4,59	
79	183	58	2,607	3,26	3,24	-3,03	0,30	4,59	-9,18	
80	178	58	2,640	3,16	3,24	-2,73	0,00	4,59	-4,59	
81	174	58	2,673	3,08	3,24	-2,73	0,00	-4,59	0,00	
82	169	58	2,706	2,98	3,24	-3,03	0,00	0,00	-4,59	
83	164	58	2,739	2,88	3,24	-2,73	-0,30	27,55	-4,59	
84	160	59	2,772	2,80	3,22	-1,21	-0,30	18,37	0,00	
85	160	59	2,805	2,80	3,22	-1,52	-0,30	-22,96	0,00	
86	155	60	2,838	2,70	3,20	-2,73	-0,30	-9,18	0,00	
87	151	60	2,871	2,62	3,20	-2,12	-0,30	27,55	0,00	
88	148	61	2,904	2,56	3,18	-0,91	-0,30	4,59	-4,59	
89	148	61	2,937	2,56	3,18	-1,82	-0,61	-27,55	-9,18	
90	142	63	2,970	2,44	3,14	-2,73	-0,91	4,59	0,00	
91	139	64	3,003	2,38	3,12	-1,52	-0,61	22,96	4,59	
92	137	65	3,036	2,34	3,10	-1,21	-0,61	9,18	4,59	
93	135	66	3,069	2,30	3,08	-0,91	-0,30	9,18	4,59	
94	134	66	3,102	2,28	3,08	-0,61	-0,30	4,59	0,00	
95	133	67	3,135	2,26	3,06	-0,61	-0,30	4,59	4,59	
96	132	67	3,168	2,24	3,06	-0,30	0,00	9,18	4,59	
97	132	67	3,201	2,24	3,06	0,00	0,00	9,18	0,00	
98	132	67	3,234	2,24	3,06	0,30	0,00	4,59	0,00	
99	133	67	3,267	2,26	3,06	0,30	0,00	0,00	4,59	
100	133	67	3,300	2,26	3,06	0,30	0,30	9,18	9,18	
101	134	66	3,333	2,28	3,08	0,91	0,61	9,18	0,00	
102	136	65	3,366	2,32	3,10	0,91	0,30	0,00	-4,59	
103	137	65	3,399	2,34	3,10	0,91	0,30	9,18	4,59	
104	139	64	3,432	2,38	3,12	1,52	0,61	9,18	4,59	
105	142	63	3,465	2,44	3,14	1,52	0,61	-4,59	-4,59	
106	144	62	3,498	2,48	3,16	1,21	0,30	0,00	-4,59	
107	146	62	3,531	2,52	3,16	1,52	0,30	9,18	4,59	
108	149	61	3,564	2,58	3,18	1,82	0,61	0,00	0,00	
109	152	60	3,597	2,64	3,20	1,52	0,30	-4,59	-4,59	
110	154	60	3,630	2,68	3,20	1,52	0,30	4,59	0,00	
111	157	59	3,663	2,74	3,22	1,82	0,30	4,59	-4,59	
112	160	59	3,696	2,80	3,22	1,82	0,00	-4,59	0,00	
113	163	59	3,729	2,86	3,22	1,52	0,30	-4,59	4,59	
114	165	58	3,762	2,90	3,24	1,52	0,30	0,00	-4,59	
115	168	58	3,795	2,96	3,24	1,52	0,00	-4,59	-4,59	
116	170	58	3,828	3,00	3,24	1,21	0,00	-4,59	0,00	
117	172	58	3,861	3,04	3,24	1,21	0,00	0,00	0,00	
118	174	58	3,894	3,08	3,24	1,21	0,00	0,00	0,00	
119	176	58	3,927	3,12	3,24	1,21	0,00	-4,59	0,00	
120	178	58	3,960	3,16	3,24	0,91	0,00	-9,18	0,00	
121	179	58	3,993	3,18	3,24	0,61	0,00	-4,59	0,00	
122	180	58	4,026	3,20	3,24	0,61	0,00	0,00	0,00	
123	181	58	4,059	3,22	3,24	0,61	0,00	-4,59	0,00	
124	182	58	4,092	3,24	3,24	0,30	0,00	-9,18	0,00	
125	182	58	4,125	3,24	3,24	0,00	0,00	-4,59	0,00	
126	182	58	4,158	3,24	3,24	0,00	0,00	0,00	0,00	
127	182	58	4,191	3,24	3,24	0,00	0,00	0,00	0,00	
128	182	58	4,224	3,24	3,24	0,00	0,00	-4,59	0,00	
129	182	58	4,257	3,24	3,24	-0,30	0,00	-9,18	0,00	
130	181	58	4,290	3,22	3,24	-0,61	0,00	0,00	0,00	
131	180	58	4,323	3,20	3,24	-0,30	0,00	4,59	0,00	
132	180	58	4,356	3,20	3,24	-0,30	0,00	-4,59	0,00	
133	179	58	4,389	3,18	3,24	-0,61	0,00	-9,18	0,00	
134	178	58	4,422	3,16	3,24	-0,91	0,00	-4,59	0,00	
135	176	58	4,455	3,12	3,24	-0,91	0,00	0,00	0,00	
136	175	58	4,488	3,10	3,24	-0,91	0,00	0,00	0,00	
137	173	58	4,521	3,06	3,24	-0,91	0,00	0,00	0,00	
138	172	58	4,554	3,04	3,24	-0,91	0,00	0,00	0,00	
139	170	58	4,587	3,00	3,24	-0,91	0,00	0,00	0,00	
140	169	58	4,620	2,98	3,24	-0,91	0,00	0,00	0,00	
141	167	58	4,653	2,94	3,24	-0,91	0,00	0,00	0,00	
142	166	58	4,686	2,92	3,24	-0,91	0,00	0,00	0,00	
143	164	58	4,719	2,88	3,24	-0,91	0,00	0,00	-4,59	
144	163	58	4,752	2,86	3,24	-0,91	-0,30	0,00	-4,59	
145	161	59	4,785	2,82	3,22	-0,91	-0,30	4,59	4,59	
146	160	59	4,818	2,80	3,22	-0,61	0,00	0,00	4,59	
147	159	59	4,851	2,78	3,22	-0,91	0,00	-4,59	0,00	
148	157	59	4,884	2,74	3,22	-0,91	0,00	4,59	-4,59	
149	156	59	4,917	2,72	3,22	-0,61	-0,30	9,18	-4,59	
150	155	60	4,950	2,70	3,20	-0,30	-0,30	4,59	4,59	
151	155	60	4,983	2,70	3,20	-0,30	0,00	0,00	4,59	
152	154	60	5,016	2,68	3,20	-0,30	0,00	0,00	0,00	
153	154	60	5,049	2,68	3,20	-0,30	0,00	0,00	0,00	
154	153	60	5,082	2,66	3,20	-0,30	0,00	4,59	0,00	
155	153	60	5,115	2,66	3,20	0,00	0,00	4,59	0,00	
156	153	60	5,148	2,66	3,20	0,00	0,00	0,00	0,00	
157	153	60	5,181	2,66	3,20	0,00	0,00	0,00	0,00	
158	153	60	5,214	2,66	3,20	0,00	0,00	4,59	0,00	
159	153	60	5,247	2,66	3,20	0,30	0,00	4,59	0,00	
160	154	60	5,280	2,68	3,20	0,30	0,00	0,00	0,00	
161	154	60	5,313	2,68	3,20	0,30	0,00	0,00	0,00	
162	155	60	5,346	2,70	3,20	0,30	0,00	0,00	0,00	
163	155	60	5,379	2,70	3,20	0,30	0,00	4,59	4,59	
164	156	60	5,412	2,72	3,20	0,61	0,30	0,00	4,59	
165	157	59	5,445	2,74	3,22	0,30	0,30	-4,59	-4,59	
166	157	59	5,478	2,74	3,22	0,30	0,00	4,59	-4,59	
167	158	59	5,511	2,76	3,22	0,61	0,00	4,59	0,00	
168	159	59	5,544	2,78	3,22	0,61	0,00	-4,59	0,00	
169	160	59	5,577	2,80	3,22	0,30	0,00	-4,59	0,00	
170	160	59	5,610	2,80	3,22	0,30	0,00	4,59	0,00	
171	161	59	5,643	2,82	3,22	0,61	0,00	4,59	0,00	
172	162	59	5,676	2,84	3,22	0,61	0,00	-4,59	0,00	
173	163	59	5,709	2,86	3,22	0,30	0,00	0,00	4,59	
174	163	59	5,742	2,86	3,22	0,61	0,30	4,59	4,59	
175	165	58	5,775	2,90	3,24	0,61	0,30	-4,59	-4,59	
176	165	58	5,808	2,90	3,24	0,30	0,00	0,00	-4,59	
177	166	58	5,841	2,92	3,24	0,61	0,00	0,00	0,00	
178	167	58	5,874	2,94	3,24	0,30	0,00	-4,59	0,00	
179	167	58	5,907	2,94	3,24	0,30	0,00	0,00	0,00	
180	168	58	5,940	2,96	3,24	0,30	0,00	-4,59	0,00	
181	168	58	5,973	2,96	3,24	0,00	0,00	0,00	0,00	
182	168	58	6,006	2,96	3,24	0,30	0,00	4,59	0,00	
183	169	58	6,039	2,98	3,24	0,30	0,00	-4,59	0,00	
184	169	58	6,072	2,98	3,24	0,00	0,00	-4,59	0,00	
185	169	58	6,105	2,98	3,24	0,00	0,00	0,00	0,00	
186	169	58	6,138	2,98	3,24	0,00	0,00	0,00	0,00	
187	169	58	6,171	2,98	3,24	0,00	0,00	0,00	0,00	
188	169	58	6,204	2,98	3,24	0,00	0,00	0,00	0,00	
189	169	58	6,237	2,98	3,24	0,00	0,00	0,00	0,00	
190	169	58	6,270	2,98	3,24	0,00	0,00	-4,59	0,00	
191	169	58	6,303	2,98	3,24	-0,30	0,00	-4,59	0,00	
192	168	58	6,336	2,96	3,24	-0,30	0,00	0,00	0,00	
193	168	58	6,369	2,96	3,24	-0,30	0,00	0,00	0,00	
194	167	58	6,402	2,94	3,24	-0,30	0,00	4,59	0,00	
195	167	58	6,435	2,94	3,24	0,00	0,00	0,00	0,00	
196	167	58	6,468	2,94	3,24	-0,30	0,00	-4,59	0,00	
197	166	58	6,501	2,92	3,24	-0,30	0,00	0,00	0,00	
198	166	58	6,534	2,92	3,24	-0,30	0,00	0,00	0,00	
199	165	58	6,567	2,90	3,24	-0,30	0,00	0,00	0,00	
200	165	58	6,600	2,90	3,24	-0,30	0,00	0,00	0,00	
201	164	58	6,633	2,88	3,24	-0,30	0,00	0,00	0,00	
202	164	58	6,666	2,88	3,24	-0,30	0,00	0,00	-4,59	
203	163	58	6,699	2,86	3,24	-0,30	-0,30	0,00	0,00	
204	163	59	6,732	2,86	3,22	-0,30	0,00	0,00	4,59	
205	162	58	6,765	2,84	3,24	-0,30	0,00	4,59	-4,59	
206	162	59	6,798	2,84	3,22	0,00	-0,30	0,00	0,00	
207	162	59	6,831	2,84	3,22	-0,30	0,00	-4,59	4,59	
208	161	59	6,864	2,82	3,22	-0,30	0,00	4,59	0,00	
209	161	59	6,897	2,82	3,22	0,00	0,00	4,59	0,00	
210	161	59	6,930	2,82	3,22	0,00	0,00	0,00	0,00	
211	161	59	6,963	2,82	3,22	0,00	0,00	-4,59	0,00	
212	161	59	6,996	2,82	3,22	-0,30	0,00	-4,59	0,00	
213	160	59	7,029	2,80	3,22	-0,30	0,00	4,59	0,00	
214	160	59	7,062	2,80	3,22	0,00	0,00	4,59	0,00	
215	160	59	7,095	2,80	3,22	0,00	0,00	0,00	0,00	
216	160	59	7,128	2,80	3,22	0,00	0,00	0,00	0,00	
217	160	59	7,161	2,80	3,22	0,00	0,00	0,00	0,00	
218	160	59	7,194	2,80	3,22	0,00	0,00	0,00	0,00	
219	160	59	7,227	2,80	3,22	0,00	0,00	0,00	0,00	
220	160	59	7,260	2,80	3,22	0,00	0,00	4,59	0,00	
221	160	59	7,293	2,80	3,22	0,30	0,00	4,59	0,00	
222	161	59	7,326	2,82	3,22	0,30	0,00	-4,59	0,00	
223	161	59	7,359	2,82	3,22	0,00	0,00	-4,59	0,00	
224	161	59	7,392	2,82	3,22	0,00	0,00	4,59	4,59	
225	161	59	7,425	2,82	3,22	0,30	0,30	4,59	0,00	
226	162	58	7,458	2,84	3,24	0,30	0,00	-4,59	-9,18	
227	162	59	7,491	2,84	3,22	0,00	-0,30	-4,59	4,59	
228	162	59	7,524	2,84	3,22	0,00	0,30	4,59	9,18	
229	162	58	7,557	2,84	3,24	0,30	0,30	4,59	-9,18	
230	163	58	7,590	2,86	3,24	0,30	-0,30	-4,59	-4,59	
231	163	59	7,623	2,86	3,22	0,00	0,00	-4,59	4,59	
232	163	58	7,656	2,86	3,24	0,00	0,00	4,59	0,00	
233	163	59	7,689	2,86	3,22	0,30	0,00	4,59	4,59	
234	164	58	7,722	2,88	3,24	0,30	0,30	-4,59	0,00	
235	164	58	7,755	2,88	3,24	0,00	0,00	-4,59	-4,59	
236	164	58	7,788	2,88	3,24	0,00	0,00	0,00	0,00	
237	164	58	7,821	2,88	3,24	0,00	0,00	0,00	0,00	
238	164	58	7,854	2,88	3,24	0,00	0,00	4,59	0,00	
239	164	58	7,887	2,88	3,24	0,30	0,00	4,59	-4,59	
240	165	58	7,920	2,90	3,24	0,30	-0,30	-4,59	0,00	
241	165	59	7,953	2,90	3,22	0,00	0,00	-4,59	9,18	
242	165	58	7,986	2,90	3,24	0,00	0,30	0,00	0,00	
243	165	58	8,019	2,90	3,24	0,00	0,00	0,00	-4,59	
