0	262	109	0.000	4.84	2.22					
1	262	110	0.033	4.84	2.20	0.00	-0.30			
2	262	110	0.066	4.84	2.20	0.00	0.30	-4.59	4.59	
3	262	109	0.099	4.84	2.22	-0.30	0.00	0.00	-9.18	
4	261	110	0.132	4.82	2.20	0.00	-0.30	9.18	4.59	
5	262	110	0.165	4.84	2.20	0.30	0.30	0.00	4.59	
6	262	109	0.198	4.84	2.22	0.00	0.00	-4.59	-4.59	
7	262	110	0.231	4.84	2.20	0.00	0.00	-4.59	4.59	
8	262	109	0.264	4.84	2.22	-0.30	0.30	-9.18	13.77	
9	261	109	0.297	4.82	2.22	-0.61	0.91	-13.77	22.96	
10	260	106	0.330	4.80	2.28	-1.21	1.82	-13.77	18.37	
11	257	103	0.363	4.74	2.34	-1.52	2.12	-13.77	18.37	
12	255	99	0.396	4.70	2.42	-2.12	3.03	-22.96	18.37	
13	250	93	0.429	4.60	2.54	-3.03	3.33	-22.96	4.59	
14	245	88	0.462	4.50	2.64	-3.64	3.33	-18.37	4.59	
15	238	82	0.495	4.36	2.76	-4.24	3.64	22.96	-22.96	
16	231	76	0.528	4.22	2.88	-2.12	1.82	22.96	-27.55	
17	231	76	0.561	4.22	2.88	-2.73	1.82	-9.18	0.00	
18	222	70	0.594	4.04	3.00	-2.73	1.82	-55.10	9.18	
19	222	70	0.627	4.04	3.00	-6.36	2.42	-55.10	9.18	
20	201	62	0.660	3.62	3.16	-6.36	2.42	-18.37	-18.37	
21	201	62	0.693	3.62	3.16	-7.58	1.21	-18.37	-18.37	
22	176	58	0.726	3.12	3.24	-7.58	1.21	0.00	-32.14	
23	176	58	0.759	3.12	3.24	-7.58	-0.91	-55.10	-45.91	
24	151	61	0.792	2.62	3.18	-11.21	-1.82	4.59	-27.55	
25	139	64	0.825	2.38	3.12	-7.27	-2.73	73.46	-22.96	
26	127	70	0.858	2.14	3.00	-6.36	-3.33	22.96	-18.37	
27	118	75	0.891	1.96	2.90	-5.76	-3.94	18.37	-13.77	
28	108	83	0.924	1.76	2.74	-5.15	-4.24	27.55	-4.59	
29	101	89	0.957	1.62	2.62	-3.94	-4.24	27.55	-4.59	
30	95	97	0.990	1.50	2.46	-3.33	-4.55	18.37	0.00	
31	90	104	1.023	1.40	2.32	-2.73	-4.24	18.37	13.77	
32	86	111	1.056	1.32	2.18	-2.12	-3.64	18.37	18.37	
33	83	116	1.089	1.26	2.08	-1.52	-3.03	18.37	18.37	
34	81	121	1.122	1.22	1.98	-0.91	-2.42	18.37	22.96	
35	80	124	1.155	1.20	1.92	-0.30	-1.52	9.18	22.96	
36	80	126	1.188	1.20	1.88	-0.30	-0.91	0.00	22.96	
37	79	127	1.221	1.18	1.86	-0.30	0.00	9.18	22.96	
38	79	126	1.254	1.18	1.88	0.30	0.61	13.77	18.37	
39	80	125	1.287	1.20	1.90	0.61	1.21	9.18	22.96	
40	81	122	1.320	1.22	1.96	0.91	2.12	9.18	22.96	
41	83	118	1.353	1.26	2.04	1.21	2.73	9.18	18.37	
42	85	113	1.386	1.30	2.14	1.52	3.33	13.77	13.77	
43	88	107	1.419	1.36	2.26	2.12	3.64	18.37	9.18	
44	92	101	1.452	1.44	2.38	2.73	3.94	22.96	9.18	
45	97	94	1.485	1.54	2.52	3.64	4.24	22.96	4.59	
46	104	87	1.518	1.68	2.66	4.24	4.24	18.37	-4.59	
47	111	80	1.551	1.82	2.80	4.85	3.94	22.96	-9.18	
48	120	74	1.584	2.00	2.92	5.76	3.64	22.96	-13.77	
49	130	68	1.617	2.20	3.04	6.36	3.03	18.37	-18.37	
50	141	64	1.650	2.42	3.12	6.97	2.42	13.77	-18.37	
51	153	60	1.683	2.66	3.20	7.27	1.82	9.18	-27.55	
52	165	58	1.716	2.90	3.24	7.58	0.61	4.59	-32.14	
53	178	58	1.749	3.16	3.24	7.58	-0.30	-4.59	-27.55	
54	190	59	1.782	3.40	3.22	7.27	-1.21	-9.18	-27.55	
55	202	62	1.815	3.64	3.16	6.97	-2.12	-9.18	-22.96	
56	213	66	1.848	3.86	3.08	6.67	-2.73	-55.10	9.18	
57	224	71	1.881	4.08	2.98	3.33	-1.52	-64.28	13.77	
58	224	71	1.914	4.08	2.98	2.42	-1.82	55.10	-59.69	
59	232	77	1.947	4.24	2.86	6.97	-5.45	55.10	-55.10	
60	247	89	1.980	4.54	2.62	6.06	-5.45	-82.64	55.10	
61	252	95	2.013	4.64	2.50	1.52	-1.82	-78.05	59.69	
62	252	95	2.046	4.64	2.50	0.91	-1.52	13.77	-22.96	
63	255	100	2.079	4.70	2.40	2.42	-3.33	9.18	-4.59	
