# m h(m) T/T_c 
0.010000 1.053429 2.000000
0.020000 1.100053 2.000000
0.030000 1.142330 2.000000
0.040000 1.181511 2.000000
0.050000 1.218488 2.000000
0.060000 1.253798 2.000000
0.070000 1.287798 2.000000
0.080000 1.320786 2.000000
0.090000 1.352941 2.000000
0.100000 1.384559 2.000000
0.110000 1.415641 2.000000
0.120000 1.446426 2.000000
0.130000 1.476913 2.000000
0.140000 1.507222 2.000000
0.150000 1.537411 2.000000
0.160000 1.567600 2.000000
0.170000 1.597790 2.000000
0.180000 1.627979 2.000000
0.190000 1.658347 2.000000
0.200000 1.688834 2.000000
0.210000 1.719500 2.000000
0.220000 1.750344 2.000000
0.230000 1.781486 2.000000
0.240000 1.812866 2.000000
0.250000 1.844544 2.000000
0.260000 1.876579 2.000000
0.270000 1.908912 2.000000
0.280000 1.941662 2.000000
0.290000 1.974769 2.000000
0.300000 2.008233 2.000000
0.310000 2.042174 2.000000
0.320000 2.076531 2.000000
0.330000 2.111305 2.000000
0.340000 2.146556 2.000000
0.350000 2.182283 2.000000
0.360000 2.218486 2.000000
0.370000 2.255107 2.000000
0.380000 2.292263 2.000000
0.390000 2.329895 2.000000
0.400000 2.368004 2.000000
0.410000 2.406649 2.000000
0.420000 2.445770 2.000000
0.430000 2.485367 2.000000
0.440000 2.525500 2.000000
0.450000 2.566110 2.000000
0.460000 2.607196 2.000000
0.470000 2.648758 2.000000
0.480000 2.690797 2.000000
0.490000 2.733312 2.000000
0.500000 2.776304 2.000000
0.510000 2.819712 2.000000
0.520000 2.863597 2.000000
0.530000 2.907958 2.000000
0.540000 2.952736 2.000000
0.550000 2.997930 2.000000
0.560000 3.043542 2.000000
0.570000 3.089510 2.000000
0.580000 3.135896 2.000000
0.590000 3.182698 2.000000
0.600000 3.229858 2.000000
0.610000 3.277375 2.000000
0.620000 3.325249 2.000000
0.630000 3.373421 2.000000
0.640000 3.421950 2.000000
0.650000 3.470836 2.000000
0.660000 3.519961 2.000000
0.670000 3.569443 2.000000
0.680000 3.619163 2.000000
0.690000 3.669181 2.000000
0.700000 3.719496 2.000000
0.710000 3.769990 2.000000
0.720000 3.820842 2.000000
0.730000 3.871872 2.000000
0.740000 3.923140 2.000000
0.750000 3.974587 2.000000
0.760000 4.026332 2.000000
0.770000 4.078255 2.000000
0.780000 4.130357 2.000000
0.790000 4.182637 2.000000
0.800000 4.235156 2.000000
0.810000 4.287794 2.000000
0.820000 4.340670 2.000000
0.830000 4.393665 2.000000
0.840000 4.446838 2.000000
0.850000 4.500131 2.000000
0.860000 4.553602 2.000000
0.870000 4.607193 2.000000
0.880000 4.660962 2.000000
0.890000 4.714850 2.000000
0.900000 4.768858 2.000000
0.910000 4.822924 2.000000
0.920000 4.877170 2.000000
0.930000 4.931534 2.000000
0.940000 4.986018 2.000000
0.950000 5.040561 2.000000
0.960000 5.095224 2.000000
0.970000 5.150005 2.000000
0.980000 5.204846 2.000000
0.990000 5.259806 2.000000
1.000000 5.314825 2.000000
1.010000 5.369964 2.000000
1.020000 5.425162 2.000000
1.030000 5.480420 2.000000
1.040000 5.535797 2.000000
1.050000 5.591233 2.000000
1.060000 5.646729 2.000000
1.070000 5.702285 2.000000
1.080000 5.757900 2.000000
1.090000 5.813634 2.000000
1.100000 5.869368 2.000000
1.110000 5.925221 2.000000
1.120000 5.981074 2.000000
1.130000 6.036987 2.000000
1.140000 6.092959 2.000000
1.150000 6.148991 2.000000
1.160000 6.205082 2.000000
1.170000 6.261233 2.000000
1.180000 6.317444 2.000000
1.190000 6.373654 2.000000
1.200000 6.429924 2.000000
1.210000 6.486254 2.000000
1.220000 6.542583 2.000000
1.230000 6.598972 2.000000
1.240000 6.655421 2.000000
1.250000 6.711870 2.000000
1.260000 6.768378 2.000000
1.270000 6.824946 2.000000
1.280000 6.881513 2.000000
1.290000 6.938141 2.000000
1.300000 6.994768 2.000000
1.310000 7.051455 2.000000
1.320000 7.108142 2.000000
1.330000 7.164888 2.000000
1.340000 7.221634 2.000000
1.350000 7.278440 2.000000
1.360000 7.335246 2.000000
1.370000 7.392112 2.000000
1.380000 7.448977 2.000000
1.390000 7.505902 2.000000
1.400000 7.562768 2.000000
1.410000 7.619752 2.000000
1.420000 7.676677 2.000000
1.430000 7.733721 2.000000
1.440000 7.790706 2.000000
1.450000 7.847750 2.000000
1.460000 7.904794 2.000000
1.470000 7.961838 2.000000
1.480000 8.018942 2.000000
1.490000 8.076045 2.000000
1.500000 8.133208 2.000000
1.510000 8.190372 2.000000
1.520000 8.247535 2.000000
1.530000 8.304698 2.000000
1.540000 8.361921 2.000000
1.550000 8.419143 2.000000
1.560000 8.476366 2.000000
1.570000 8.533589 2.000000
1.580000 8.590871 2.000000
1.590000 8.648153 2.000000
1.600000 8.705436 2.000000
1.610000 8.762718 2.000000
1.620000 8.820060 2.000000
1.630000 8.877402 2.000000
1.640000 8.934743 2.000000
1.650000 8.992085 2.000000
1.660000 9.049487 2.000000
1.670000 9.106888 2.000000
1.680000 9.164289 2.000000
1.690000 9.221691 2.000000
1.700000 9.279092 2.000000
1.710000 9.336493 2.000000
1.720000 9.393954 2.000000
1.730000 9.451415 2.000000
1.740000 9.508876 2.000000
