# abkuehlung von kT = 5 bis kT ~ 0
#        T	E	C	M       Chi
      4.5   -0.484    0.119      0.0    0.727
      4.4   -0.496    0.064   -0.002    0.519
      4.3   -0.513    0.072    0.001    1.047
      4.2   -0.526    0.183   -0.003    0.788
      4.1   -0.542    0.314   -0.001    0.666
      4.0   -0.556    0.248    0.002    0.716
      3.9   -0.571    0.059   -0.003    1.326
      3.8   -0.594    0.269   -0.003    0.788
      3.7   -0.615    0.146      0.0    0.536
      3.6   -0.637    0.349      0.0    2.362
      3.5   -0.659     0.13   -0.007    0.743
      3.4   -0.687    0.287   -0.003    4.914
      3.3   -0.717    0.198    0.001    0.852
      3.2   -0.745    0.268      0.0    0.824
      3.1   -0.781    0.121   -0.003    1.543
      3.0   -0.822    0.353    0.002    2.926
      2.9    -0.86    0.188    0.009    2.331
      2.8   -0.911    0.152    0.003     6.37
      2.7   -0.962    0.446    0.007    3.299
      2.6   -1.023    0.824    0.009     1.42
      2.5   -1.099    0.647    0.004   10.727
      2.4   -1.185     2.41   -0.004    3.612
      2.3   -1.295    2.835    0.011    1.649
      2.2    -1.41    1.999    0.016    5.455
      2.1   -1.522    2.935    0.036    5.132
      2.0   -1.625    2.483    0.055    0.619
      1.9   -1.702    1.037    0.061    0.913
      1.8    -1.76    0.461     0.08    0.298
      1.7   -1.803    0.525    0.079    0.751
      1.6   -1.842    0.382    0.074    0.288
      1.5    -1.87    0.381    0.074    0.463
      1.4   -1.895    0.137     0.07    1.004
      1.3   -1.911    0.116    0.068    0.173
      1.2   -1.924    0.034    0.068    0.203
      1.1   -1.932    0.101    0.067    0.115
      1.0   -1.939    0.049    0.069     0.23
      0.9   -1.944    0.091    0.071    0.139
      0.8   -1.948    0.038    0.079    0.414
      0.7   -1.951     0.05    0.083    0.241
      0.6   -1.954    0.068    0.092    0.424
      0.5   -1.956      0.0    0.095    0.424
      0.4   -1.958    0.306    0.097    0.899
      0.3    -1.96    0.544    0.108    4.076
      0.2   -1.961      0.0    0.116    0.732
      0.1   -1.963    7.339    0.119    2.084
      0.1   -1.964      0.0    0.116    1.598
      0.1   -1.965      0.0    0.115    1.443
      0.1   -1.966    2.446     0.12    0.924
      0.1   -1.966   -2.446    0.123    2.548
      0.1   -1.967   -2.446    0.127    2.111
      0.1   -1.967   -2.446    0.131    2.061
      0.1   -1.967   -2.446    0.135     1.56
      0.1   -1.968    2.446    0.141    6.015
      0.1   -1.969    2.446    0.148     3.54
      0.1   -1.969    2.446    0.157   11.181
      0.1    -1.97    2.446    0.168    5.738
      0.1    -1.97   -2.446    0.177    1.825
      0.1   -1.971      0.0    0.181    0.489
      0.1   -1.971    2.446    0.182    0.334
      0.1   -1.972      0.0    0.184    0.382
      0.1   -1.972   -2.446    0.193    9.054
      0.1   -1.973   -2.446    0.202    7.496
      0.1   -1.973    2.446     0.21    3.582
      0.1   -1.974    2.446    0.216    1.541
      0.1   -1.974    2.446    0.219    2.993
      0.1   -1.974   -4.893    0.227    7.072
      0.1   -1.975    2.446    0.233      0.6
      0.1   -1.975   -4.893    0.239    4.885
      0.1   -1.975      0.0    0.244    2.492
      0.1   -1.975    2.446    0.244     0.52
      0.1   -1.976   -2.446    0.246    1.204
      0.1   -1.976    2.446    0.251    1.563
      0.1   -1.976   -2.446    0.253    0.447
      0.1   -1.976      0.0     0.25     1.17
      0.1   -1.977    2.446    0.255    2.584
      0.1   -1.977    2.446    0.259    0.352
      0.1   -1.977   -2.446    0.261    1.541
      0.1   -1.977    4.893    0.263    1.292
      0.1   -1.978      0.0    0.264    0.176
      0.1   -1.978      0.0    0.268    2.982
      0.1   -1.978      0.0    0.272    2.905
      0.1   -1.978    2.446    0.279    8.287
      0.1   -1.979      0.0    0.289    2.209
      0.1   -1.979      0.0    0.296    4.083
      0.1   -1.979   -4.893    0.301    2.882
      0.1   -1.979   -4.893    0.306     1.69
      0.1   -1.979      0.0    0.311    1.636
      0.1   -1.979      0.0    0.313    1.277
      0.1   -1.979    2.446    0.318    2.408
      0.1   -1.979   -4.893    0.326   10.734
      0.1   -1.979      0.0    0.335    3.035
      0.1    -1.98    4.893     0.34     3.83
      0.1    -1.98    4.893    0.346    3.173
      0.1    -1.98    2.446    0.349    0.979
      0.1    -1.98   -2.446    0.355     1.04
      0.1    -1.98   -2.446    0.358    0.894
      0.1    -1.98    2.446    0.364    0.474
      0.1    -1.98   -2.446    0.364    0.657
      0.1    -1.98    2.446    0.364     5.39
      0.1    -1.98      0.0    0.372    2.324
      0.1    -1.98    4.893    0.376    2.982
      0.1   -1.981   -4.893    0.379    0.589
      0.1   -1.981   -2.446    0.379    0.543
      0.1   -1.981   -2.446    0.378    0.757
      0.1   -1.981      0.0     0.38    3.471
      0.1   -1.981   -4.893    0.385    0.344
      0.1   -1.981   -2.446    0.388    1.231
      0.1   -1.981   -2.446    0.392    1.284
      0.1   -1.981    2.446    0.393    1.422
      0.1   -1.981    2.446    0.392    0.352
      0.1   -1.981    2.446    0.394    3.976
      0.1   -1.981      0.0      0.4    3.792
      0.1   -1.981      0.0    0.404    1.407
      0.1   -1.981   -2.446    0.408    1.422
      0.1   -1.981      0.0    0.411    0.627
