# cooling from kT =2.5 to kT = 2.0
# using Delta T = 0.001 and 60 averages per Temperature step
#      T        E        C        M       Chi
      2.5   -1.106    0.918      0.0   23.947
    2.499   -1.106    0.998   -0.013    7.973
    2.498    -1.11    0.931   -0.012   33.262
    2.497   -1.109    0.449    -0.02   31.538
    2.496   -1.112    0.827   -0.026   22.872
    2.495   -1.112    0.829   -0.025   21.717
    2.494    -1.11    0.728   -0.026   49.266
    2.493    -1.11    1.205    0.002   17.504
    2.492   -1.113    0.723   -0.022   13.259
    2.491   -1.108     0.68    0.016   14.521
     2.49   -1.114    0.758   -0.002    8.638
    2.489   -1.115     0.74    0.004    7.786
    2.488   -1.118     0.81   -0.011   11.103
    2.487   -1.118    1.149   -0.026   24.548
    2.486   -1.119    0.954   -0.027   18.532
    2.485   -1.116    0.996    0.029   17.187
    2.484   -1.122    0.981   -0.027   53.925
    2.483   -1.119    0.617   -0.038   21.555
    2.482    -1.12    0.888    0.013   22.155
    2.481    -1.12    0.809   -0.014   13.479
     2.48   -1.125    0.636   -0.003    8.867
    2.479   -1.124    0.525      0.0   19.185
    2.478   -1.125    0.777    0.005   29.406
    2.477   -1.126    1.531    0.021    29.37
    2.476   -1.127    1.119    0.006    6.292
    2.475   -1.126    0.827    0.012   36.268
    2.474   -1.132    1.117   -0.031    8.854
    2.473   -1.131    0.878   -0.031    7.876
    2.472   -1.132    0.621   -0.024   14.972
    2.471   -1.132    0.655   -0.019    7.027
     2.47   -1.133    1.021   -0.031   41.617
    2.469   -1.134    0.877      0.0   14.135
    2.468   -1.134    0.819   -0.025    6.168
    2.467   -1.134    0.744   -0.003   41.027
    2.466   -1.137    0.873   -0.006   14.215
    2.465   -1.138    1.007   -0.006    39.57
    2.464   -1.138    0.945   -0.016     8.49
    2.463   -1.135    0.714   -0.002   15.532
    2.462    -1.14    0.862     0.04    5.731
    2.461   -1.142    0.743    0.021   15.079
     2.46   -1.141    0.754    0.031   13.008
    2.459    -1.14    0.902    0.021   24.013
    2.458   -1.143    1.095     0.02   28.353
    2.457   -1.146    1.084   -0.016   52.195
    2.456   -1.149    0.852   -0.012   21.525
    2.455   -1.149    0.899   -0.004    15.55
    2.454    -1.15    1.052    0.049    9.373
    2.453   -1.153    1.169    0.025   39.406
    2.452   -1.155    0.928    0.026    13.41
    2.451   -1.157    0.468    0.039   28.816
     2.45   -1.146    0.772    0.021    7.137
    2.449   -1.153    0.718   -0.006   12.734
    2.448   -1.154    0.753   -0.051   13.915
    2.447   -1.156    0.789   -0.022     9.01
    2.446   -1.156    0.605    0.003    4.374
    2.445   -1.157      0.9      0.0   28.731
    2.444   -1.157    0.999    0.016    5.567
    2.443    -1.16     1.01    0.007   14.035
    2.442   -1.159    0.775   -0.025   10.733
    2.441   -1.159    1.168    0.031    9.717
