# heating from ground state
#      T        E        C        M       Chi
      0.3     -2.0      0.0      1.0      0.0
      0.4     -2.0      0.0      1.0      0.0
      0.5     -2.0      0.0      1.0      0.0
      0.6     -2.0      0.0      1.0      0.0
      0.7     -2.0    -0.05      1.0      0.0
      0.8     -2.0      0.0      1.0   -0.008
      0.9   -1.999    -0.06      1.0   -0.014
      1.0   -1.997    0.024    0.999   -0.006
      1.1   -1.994     0.04    0.998    0.006
      1.2   -1.989    0.034    0.997     0.01
      1.3    -1.98    0.101    0.995    0.005
      1.4   -1.969    0.087    0.992      0.0
      1.5   -1.951    0.087    0.986    0.008
      1.6   -1.928    0.354    0.979    0.054
      1.7   -1.899    0.262     0.97    0.061
      1.8    -1.86    0.408    0.957    0.092
      1.9   -1.811    0.678    0.939    0.258
      2.0    -1.75    0.991    0.914    0.502
      2.1   -1.666    0.976    0.875    0.982
      2.2   -1.564    0.998    0.817    2.674
      2.3   -1.428     9.77    0.702    44.72
      2.4   -1.283    5.883    0.547   47.336
      2.5   -1.138    5.282    0.314  172.839
      2.6   -1.039    1.686    0.113   30.833
      2.7   -0.964     0.36    0.025    2.746
      2.8   -0.908    0.395    0.014    4.431
      2.9    -0.86    0.437    0.008     1.47
      3.0   -0.818    0.719    0.014    1.271
      3.1   -0.781    0.293    0.004     4.07
      3.2   -0.747    0.358      0.0    1.922
      3.3   -0.712    0.341   -0.002    1.564
      3.4   -0.689    0.127   -0.001    1.948
      3.5   -0.658    0.141   -0.003    4.399
      3.6   -0.636    0.298    0.001    1.558
      3.7   -0.613    0.206   -0.004    1.194
      3.8   -0.596    0.152      0.0    0.758
      3.9   -0.573    0.097   -0.001     1.08
      4.0   -0.557    0.126   -0.002    0.767
      4.1   -0.541    0.095   -0.001    0.768
      4.2   -0.526    0.105      0.0    0.391
      4.3   -0.513    0.078   -0.001    0.658
      4.4   -0.497    0.042    0.004    1.228
      4.5    -0.48    0.177      0.0    0.423
      4.6   -0.468    0.185    0.002    0.898
      4.7    -0.46    0.151      0.0    0.431
      4.8   -0.448    0.213    0.001     0.21

